"subj","stimulustype","item","condition","sentence","response","rt","order","CorrectResponse","Grammaticality","Accuracy","Attractor"
1,"Filler",103,0,"The butler checked the window that the maids always cleans","j",0.530182123184,2,"j","Ungrammatical",1,"NA"
1,"Filler",67,0,"The guitar and the amplifier really rocks","j",0.579830884933,4,"j","Ungrammatical",1,"NA"
1,"Filler",102,0,"The photographer captured the tree that the flowers beautifully adorn","f",1.64846301079,5,"f","Grammatical",1,"NA"
1,"Filler",122,0,"The astronaut thinks that the engine never fail","j",0.731645107269,7,"j","Ungrammatical",1,"NA"
1,"Filler",68,0,"The book and the magazine never sells","j",0.947958946228,9,"j","Ungrammatical",1,"NA"
1,"Filler",126,0,"The pilot thinks that the passengers usually sleep","f",1.28121304512,10,"f","Grammatical",1,"NA"
1,"Filler",127,0,"The stewardess knows that the pilots always gossip","f",1.26466703415,12,"f","Grammatical",1,"NA"
1,"Filler",112,0,"The teacher said that the student tentatively pass","j",0.814731836319,14,"j","Ungrammatical",1,"NA"
1,"Filler",121,0,"The mayor knows that the sheriff often complain","f",0.713533163071,16,"j","Ungrammatical",0,"NA"
1,"Filler",115,0,"The nurse knows that the treatment probably work","f",0.813605070114,18,"j","Ungrammatical",0,"NA"
1,"Filler",76,0,"The picture and the frame apparently matches","j",2.88352012634,20,"j","Ungrammatical",1,"NA"
1,"Filler",83,0,"The girl rode the elephant that the zookeeper carefully train","j",1.31468200684,22,"j","Ungrammatical",1,"NA"
1,"Filler",110,0,"The nurse loves the decorations that the residents always makes","j",0.96323800087,23,"j","Ungrammatical",1,"NA"
1,"Filler",125,0,"The boss insists that the secretary always smile","f",2.33266305923,24,"j","Ungrammatical",0,"NA"
1,"Filler",129,0,"The chimney sweep found that the bricks often break","f",1.58073210716,26,"f","Grammatical",1,"NA"
1,"Filler",124,0,"The technician found that the laboratory never quiet","j",1.1974158287,28,"j","Ungrammatical",1,"NA"
1,"Filler",101,0,"The book describes the war that the citizens sadly remember","f",1.03045892715,30,"f","Grammatical",1,"NA"
1,"Filler",131,0,"The novelist wrote that the characters suddenly meet","f",1.51573491096,31,"f","Grammatical",1,"NA"
1,"Filler",80,0,"The desk and the bookshelf always squeaks","j",1.82951402664,32,"j","Ungrammatical",1,"NA"
1,"Filler",107,0,"The editor rejects the headlines that the journalists regularly proposes","j",0.898086071014,34,"j","Ungrammatical",1,"NA"
1,"Filler",140,0,"The lawyer said that the clients frequently lies","j",1.09789681435,36,"j","Ungrammatical",1,"NA"
1,"Filler",97,0,"The clock shows the time that the athletes amazingly run","f",1.81419587135,38,"f","Grammatical",1,"NA"
1,"Filler",109,0,"The doctor caught the flu that the shots supposedly prevents","j",1.21394586563,39,"j","Ungrammatical",1,"NA"
1,"Filler",94,0,"The worker replaces the light that the tenant always break","f",1.8306748867,41,"j","Ungrammatical",0,"NA"
1,"Filler",134,0,"The principal discovered that the teachers never sleeps","j",1.94885396957,43,"j","Ungrammatical",1,"NA"
1,"Filler",114,0,"The repairman said that the refrigerator still work","j",0.863817930222,45,"j","Ungrammatical",1,"NA"
1,"Filler",118,0,"The mechanic insists that the brake still work","j",0.48001408577,47,"j","Ungrammatical",1,"NA"
1,"Filler",117,0,"The chef knows that the dish probably amaze","j",0.879807949066,49,"j","Ungrammatical",1,"NA"
1,"Filler",120,0,"The camper knows that the cabin usually charm","j",0.530883073807,51,"j","Ungrammatical",1,"NA"
1,"Filler",98,0,"The waiter brought the meal that the boys apparently want","f",1.81562495232,53,"f","Grammatical",1,"NA"
1,"Filler",137,0,"The analyst discovered that the accountants sometimes miscalculates","j",0.845070123672,54,"j","Ungrammatical",1,"NA"
1,"Filler",65,0,"The tyrant and the queen suddenly agree","f",1.03118896484,55,"f","Grammatical",1,"NA"
1,"Filler",135,0,"The nurse saw that the soldiers never rests","j",0.696934223175,56,"j","Ungrammatical",1,"NA"
1,"Filler",100,0,"The crew cleans the plane that the pilots expertly fly","f",1.04810214043,57,"f","Grammatical",1,"NA"
1,"Filler",106,0,"The billionaire tips the apprentice that the tailors usually trains","f",1.24760890007,59,"j","Ungrammatical",0,"NA"
1,"Filler",70,0,"The jersey and the glove probably stinks","j",1.26340103149,61,"j","Ungrammatical",1,"NA"
1,"Filler",108,0,"The captain releases the whales that the fishermen sometimes catches","j",0.696496963501,63,"j","Ungrammatical",1,"NA"
1,"Filler",95,0,"The critic praised the restaurant that the celebrity really like","j",0.830029010773,64,"j","Ungrammatical",1,"NA"
1,"Filler",84,0,"The crowd likes the movie that the theater always play","j",0.647899150848,66,"j","Ungrammatical",1,"NA"
1,"Filler",62,0,"The sailor and the captain usually fight","f",0.646800041199,68,"f","Grammatical",1,"NA"
1,"Filler",133,0,"The professor reported that the students always complains","j",0.662928819656,69,"j","Ungrammatical",1,"NA"
1,"Filler",136,0,"The reporter knows that the spies often vanishes","j",1.0801680088,71,"j","Ungrammatical",1,"NA"
1,"Filler",72,0,"The executioner and the victim never speaks","j",0.562647104263,73,"j","Ungrammatical",1,"NA"
1,"Filler",66,0,"The tailor and the customer cheerily talk","f",0.5975689888,75,"f","Grammatical",1,"NA"
1,"Filler",139,0,"The janitor knows that the offices quickly dirties","f",1.16447401047,77,"j","Ungrammatical",0,"NA"
1,"Filler",132,0,"The captain knows that the sailors often smoke","f",0.547214984894,78,"f","Grammatical",1,"NA"
1,"Filler",78,0,"The cash and the check likely suffices","f",0.628952026367,79,"j","Ungrammatical",0,"NA"
1,"Filler",130,0,"The model accepted that the shoes never fit","f",0.664235115051,81,"f","Grammatical",1,"NA"
1,"Filler",91,0,"The committee awards the building that the architect truly love","j",1.19789195061,83,"j","Ungrammatical",1,"NA"
1,"Filler",116,0,"The thief thinks that the window likely unlock","j",1.74660611153,85,"j","Ungrammatical",1,"NA"
1,"Filler",73,0,"The chainsaw and the lawnmower frequently breaks","j",0.71315407753,87,"j","Ungrammatical",1,"NA"
1,"Filler",85,0,"The dad hated the story that the child really love","j",0.581127166748,89,"j","Ungrammatical",1,"NA"
1,"Filler",111,0,"The owner claimed that the restaurant often fill","j",0.632162094116,90,"j","Ungrammatical",1,"NA"
1,"Filler",64,0,"The computer and the printer often restart","j",0.679762840271,91,"f","Grammatical",0,"NA"
1,"Filler",105,0,"The electrician lost the hammer that the carpenters always uses","j",1.33124113083,93,"j","Ungrammatical",1,"NA"
1,"Filler",82,0,"The raccoon dug up the rose bush that the gardener usually trim","j",0.764595985413,95,"j","Ungrammatical",1,"NA"
1,"Filler",138,0,"The manager reported that the contracts probably expires","j",1.22964501381,96,"j","Ungrammatical",1,"NA"
1,"Filler",104,0,"The crowd cheered the player that the coaches apparently supports","j",0.712492227554,98,"j","Ungrammatical",1,"NA"
1,"Filler",99,0,"The shelf holds the phone book that the secretaries often use","j",0.580267906189,100,"f","Grammatical",0,"NA"
1,"Filler",87,0,"The mother sewed the shirt that the boy deeply treasure ","j",0.862858057022,102,"j","Ungrammatical",1,"NA"
1,"Filler",90,0,"The magazine publishes the essays that the editor wrongly reject","j",0.69459605217,104,"j","Ungrammatical",1,"NA"
1,"Filler",113,0,"The diplomat believes that the guard probably suffice","f",0.912796974182,106,"j","Ungrammatical",0,"NA"
1,"Filler",92,0,"The teenager hates the tourists that the city usually attract","f",1.23110294342,108,"j","Ungrammatical",0,"NA"
1,"Filler",119,0,"The lumberjack loves that the chainsaw never break","j",1.71355199814,110,"j","Ungrammatical",1,"NA"
1,"Filler",63,0,"The chair and the desk frequently break","f",1.58120918274,112,"f","Grammatical",1,"NA"
1,"Filler",69,0,"The thesaurus and the dictionary frequently changes","j",1.54733204842,114,"j","Ungrammatical",1,"NA"
1,"Filler",61,0,"The dog and the cat always play","f",0.763665914536,116,"f","Grammatical",1,"NA"
1,"Filler",74,0,"The coffee and the muffin never cools","j",1.08225703239,118,"j","Ungrammatical",1,"NA"
1,"Filler",77,0,"The microphone and the guitar loudly buzzes","j",1.38111901283,120,"j","Ungrammatical",1,"NA"
1,"Filler",123,0,"The salesman knows that the customer usually decline","j",0.663444042206,122,"j","Ungrammatical",1,"NA"
1,"Filler",75,0,"The camera and the lens definitely amazes","j",2.24730587006,124,"j","Ungrammatical",1,"NA"
1,"Filler",79,0,"The folder and the file apparently explains","j",1.63088703156,125,"j","Ungrammatical",1,"NA"
1,"Filler",89,0,"The cat lost the toy that the kid always buy","j",0.747480869293,127,"j","Ungrammatical",1,"NA"
1,"Filler",88,0,"The cop sips the coffee that the waitress carefully pour","j",0.663813829422,129,"j","Ungrammatical",1,"NA"
1,"Filler",128,0,"The bus driver worries that the breaks frequently squeak","f",1.29668807983,131,"f","Grammatical",1,"NA"
1,"Filler",93,0,"The landlord fixes the leaks that the pipe repeatedly produce","j",1.37993407249,133,"j","Ungrammatical",1,"NA"
1,"Filler",71,0,"The fireman and the cop usually chats","j",0.914664983749,134,"j","Ungrammatical",1,"NA"
1,"Filler",81,0,"The teacher supports the student that the principal usually punish","j",0.663111925125,136,"j","Ungrammatical",1,"NA"
1,"Filler",86,0,"The man fixed the leash that the dog aggressively chew","j",0.831392049789,138,"j","Ungrammatical",1,"NA"
1,"Filler",96,0,"The camera filmed the line that the runners quickly cross","j",0.980987071991,140,"f","Grammatical",0,"NA"
10,"Filler",128,0,"The bus driver worries that the breaks frequently squeak","f",0.645961046219,1,"f","Grammatical",1,"NA"
10,"Filler",117,0,"The chef knows that the dish probably amaze","j",1.27923798561,3,"j","Ungrammatical",1,"NA"
10,"Filler",70,0,"The jersey and the glove probably stinks","f",0.696287155151,5,"j","Ungrammatical",0,"NA"
10,"Filler",116,0,"The thief thinks that the window likely unlock","f",1.07928919792,6,"j","Ungrammatical",0,"NA"
10,"Filler",124,0,"The technician found that the laboratory never quiet","f",1.01396203041,8,"j","Ungrammatical",0,"NA"
10,"Filler",61,0,"The dog and the cat always play","f",0.680184841156,9,"f","Grammatical",1,"NA"
10,"Filler",112,0,"The teacher said that the student tentatively pass","f",0.563903093338,11,"j","Ungrammatical",0,"NA"
10,"Filler",133,0,"The professor reported that the students always complains","f",0.613884925842,13,"j","Ungrammatical",0,"NA"
10,"Filler",110,0,"The nurse loves the decorations that the residents always makes","j",0.846801996231,15,"j","Ungrammatical",1,"NA"
10,"Filler",106,0,"The billionaire tips the apprentice that the tailors usually trains","f",0.880983829498,17,"j","Ungrammatical",0,"NA"
10,"Filler",94,0,"The worker replaces the light that the tenant always break","j",0.86351108551,19,"j","Ungrammatical",1,"NA"
10,"Filler",62,0,"The sailor and the captain usually fight","f",0.630310058594,20,"f","Grammatical",1,"NA"
10,"Filler",99,0,"The shelf holds the phone book that the secretaries often use","f",0.530187129974,22,"f","Grammatical",1,"NA"
10,"Filler",68,0,"The book and the magazine never sells","j",0.74732708931,24,"j","Ungrammatical",1,"NA"
10,"Filler",93,0,"The landlord fixes the leaks that the pipe repeatedly produce","f",0.812246084213,25,"j","Ungrammatical",0,"NA"
10,"Filler",98,0,"The waiter brought the meal that the boys apparently want","f",0.54828286171,27,"f","Grammatical",1,"NA"
10,"Filler",114,0,"The repairman said that the refrigerator still work","j",1.33211898804,29,"j","Ungrammatical",1,"NA"
10,"Filler",137,0,"The analyst discovered that the accountants sometimes miscalculates","f",0.711866140366,31,"j","Ungrammatical",0,"NA"
10,"Filler",122,0,"The astronaut thinks that the engine never fail","j",0.780658006668,33,"j","Ungrammatical",1,"NA"
10,"Filler",101,0,"The book describes the war that the citizens sadly remember","f",0.563677072525,35,"f","Grammatical",1,"NA"
10,"Filler",129,0,"The chimney sweep found that the bricks often break","f",0.630556106567,36,"f","Grammatical",1,"NA"
10,"Filler",132,0,"The captain knows that the sailors often smoke","f",0.562987089157,37,"f","Grammatical",1,"NA"
10,"Filler",74,0,"The coffee and the muffin never cools","j",0.814410924911,39,"j","Ungrammatical",1,"NA"
10,"Filler",75,0,"The camera and the lens definitely amazes","j",1.0812189579,40,"j","Ungrammatical",1,"NA"
10,"Filler",125,0,"The boss insists that the secretary always smile","f",0.497492074966,42,"j","Ungrammatical",0,"NA"
10,"Filler",82,0,"The raccoon dug up the rose bush that the gardener usually trim","f",0.695698022842,43,"j","Ungrammatical",0,"NA"
10,"Filler",76,0,"The picture and the frame apparently matches","j",0.696620941162,45,"j","Ungrammatical",1,"NA"
10,"Filler",83,0,"The girl rode the elephant that the zookeeper carefully train","j",0.915165185928,47,"j","Ungrammatical",1,"NA"
10,"Filler",67,0,"The guitar and the amplifier really rocks","f",0.729549884796,49,"j","Ungrammatical",0,"NA"
10,"Filler",130,0,"The model accepted that the shoes never fit","f",0.59766793251,51,"f","Grammatical",1,"NA"
10,"Filler",65,0,"The tyrant and the queen suddenly agree","f",0.530927181244,52,"f","Grammatical",1,"NA"
10,"Filler",73,0,"The chainsaw and the lawnmower frequently breaks","j",1.5966861248,54,"j","Ungrammatical",1,"NA"
10,"Filler",91,0,"The committee awards the building that the architect truly love","j",1.09779500961,56,"j","Ungrammatical",1,"NA"
10,"Filler",107,0,"The editor rejects the headlines that the journalists regularly proposes","j",1.04709291458,58,"j","Ungrammatical",1,"NA"
10,"Filler",115,0,"The nurse knows that the treatment probably work","f",1.34831786156,60,"j","Ungrammatical",0,"NA"
10,"Filler",96,0,"The camera filmed the line that the runners quickly cross","f",0.582039117813,61,"f","Grammatical",1,"NA"
10,"Filler",64,0,"The computer and the printer often restart","j",0.746624946594,63,"f","Grammatical",0,"NA"
10,"Filler",63,0,"The chair and the desk frequently break","f",0.54685997963,65,"f","Grammatical",1,"NA"
10,"Filler",127,0,"The stewardess knows that the pilots always gossip","f",0.797822952271,67,"f","Grammatical",1,"NA"
10,"Filler",86,0,"The man fixed the leash that the dog aggressively chew","f",0.798298835754,69,"j","Ungrammatical",0,"NA"
10,"Filler",77,0,"The microphone and the guitar loudly buzzes","f",0.89615893364,71,"j","Ungrammatical",0,"NA"
10,"Filler",85,0,"The dad hated the story that the child really love","j",1.43139696121,73,"j","Ungrammatical",1,"NA"
10,"Filler",69,0,"The thesaurus and the dictionary frequently changes","f",1.0471060276,75,"j","Ungrammatical",0,"NA"
10,"Filler",90,0,"The magazine publishes the essays that the editor wrongly reject","f",0.729866027832,76,"j","Ungrammatical",0,"NA"
10,"Filler",118,0,"The mechanic insists that the brake still work","f",2.38371109962,78,"j","Ungrammatical",0,"NA"
10,"Filler",72,0,"The executioner and the victim never speaks","f",1.21338891983,80,"j","Ungrammatical",0,"NA"
10,"Filler",108,0,"The captain releases the whales that the fishermen sometimes catches","f",0.647360086441,81,"j","Ungrammatical",0,"NA"
10,"Filler",138,0,"The manager reported that the contracts probably expires","f",0.963481903076,83,"j","Ungrammatical",0,"NA"
10,"Filler",121,0,"The mayor knows that the sheriff often complain","j",0.963798999786,85,"j","Ungrammatical",1,"NA"
10,"Filler",131,0,"The novelist wrote that the characters suddenly meet","f",0.864738941193,86,"f","Grammatical",1,"NA"
10,"Filler",140,0,"The lawyer said that the clients frequently lies","f",1.1814160347,88,"j","Ungrammatical",0,"NA"
10,"Filler",103,0,"The butler checked the window that the maids always cleans","f",1.03076314926,90,"j","Ungrammatical",0,"NA"
10,"Filler",139,0,"The janitor knows that the offices quickly dirties","j",0.981270074844,92,"j","Ungrammatical",1,"NA"
10,"Filler",81,0,"The teacher supports the student that the principal usually punish","j",1.01313495636,94,"j","Ungrammatical",1,"NA"
10,"Filler",105,0,"The electrician lost the hammer that the carpenters always uses","f",0.613587856293,95,"j","Ungrammatical",0,"NA"
10,"Filler",88,0,"The cop sips the coffee that the waitress carefully pour","f",0.981074094772,97,"j","Ungrammatical",0,"NA"
10,"Filler",134,0,"The principal discovered that the teachers never sleeps","f",0.86438202858,99,"j","Ungrammatical",0,"NA"
10,"Filler",123,0,"The salesman knows that the customer usually decline","f",1.18116688728,101,"j","Ungrammatical",0,"NA"
10,"Filler",126,0,"The pilot thinks that the passengers usually sleep","f",0.712864875793,103,"f","Grammatical",1,"NA"
10,"Filler",135,0,"The nurse saw that the soldiers never rests","f",0.897242069244,105,"j","Ungrammatical",0,"NA"
10,"Filler",95,0,"The critic praised the restaurant that the celebrity really like","j",1.09709501266,106,"j","Ungrammatical",1,"NA"
10,"Filler",80,0,"The desk and the bookshelf always squeaks","f",0.728395938873,107,"j","Ungrammatical",0,"NA"
10,"Filler",120,0,"The camper knows that the cabin usually charm","j",0.847699165344,109,"j","Ungrammatical",1,"NA"
10,"Filler",89,0,"The cat lost the toy that the kid always buy","j",1.04790210724,111,"j","Ungrammatical",1,"NA"
10,"Filler",100,0,"The crew cleans the plane that the pilots expertly fly","f",0.613780975342,112,"f","Grammatical",1,"NA"
10,"Filler",66,0,"The tailor and the customer cheerily talk","f",0.680845975876,114,"f","Grammatical",1,"NA"
10,"Filler",111,0,"The owner claimed that the restaurant often fill","j",0.648380994797,116,"j","Ungrammatical",1,"NA"
10,"Filler",84,0,"The crowd likes the movie that the theater always play","f",0.646895170212,118,"j","Ungrammatical",0,"NA"
10,"Filler",71,0,"The fireman and the cop usually chats","f",1.1651558876,120,"j","Ungrammatical",0,"NA"
10,"Filler",109,0,"The doctor caught the flu that the shots supposedly prevents","f",0.579791069031,121,"j","Ungrammatical",0,"NA"
10,"Filler",113,0,"The diplomat believes that the guard probably suffice","j",0.828816175461,123,"j","Ungrammatical",1,"NA"
10,"Filler",92,0,"The teenager hates the tourists that the city usually attract","f",0.630466938019,125,"j","Ungrammatical",0,"NA"
10,"Filler",102,0,"The photographer captured the tree that the flowers beautifully adorn","f",0.630773067474,127,"f","Grammatical",1,"NA"
10,"Filler",87,0,"The mother sewed the shirt that the boy deeply treasure ","f",0.678589820862,129,"j","Ungrammatical",0,"NA"
10,"Filler",104,0,"The crowd cheered the player that the coaches apparently supports","f",0.862890958786,131,"j","Ungrammatical",0,"NA"
10,"Filler",79,0,"The folder and the file apparently explains","j",0.812376976013,133,"j","Ungrammatical",1,"NA"
10,"Filler",119,0,"The lumberjack loves that the chainsaw never break","f",0.997213840485,135,"j","Ungrammatical",0,"NA"
10,"Filler",78,0,"The cash and the check likely suffices","j",0.830032110214,136,"j","Ungrammatical",1,"NA"
10,"Filler",97,0,"The clock shows the time that the athletes amazingly run","f",0.579690933228,138,"f","Grammatical",1,"NA"
10,"Filler",136,0,"The reporter knows that the spies often vanishes","f",0.796868801117,140,"j","Ungrammatical",0,"NA"
11,"Filler",71,0,"The fireman and the cop usually chats","j",1.04878115654,2,"j","Ungrammatical",1,"NA"
11,"Filler",95,0,"The critic praised the restaurant that the celebrity really like","j",1.08011889458,3,"j","Ungrammatical",1,"NA"
11,"Filler",101,0,"The book describes the war that the citizens sadly remember","f",0.579802036285,5,"f","Grammatical",1,"NA"
11,"Filler",108,0,"The captain releases the whales that the fishermen sometimes catches","f",0.98069691658,7,"j","Ungrammatical",0,"NA"
11,"Filler",110,0,"The nurse loves the decorations that the residents always makes","f",0.796086072922,9,"j","Ungrammatical",0,"NA"
11,"Filler",79,0,"The folder and the file apparently explains","j",0.79553103447,11,"j","Ungrammatical",1,"NA"
11,"Filler",88,0,"The cop sips the coffee that the waitress carefully pour","f",1.68117213249,13,"j","Ungrammatical",0,"NA"
11,"Filler",74,0,"The coffee and the muffin never cools","j",1.36462593079,14,"j","Ungrammatical",1,"NA"
11,"Filler",91,0,"The committee awards the building that the architect truly love","j",1.24831295013,15,"j","Ungrammatical",1,"NA"
11,"Filler",113,0,"The diplomat believes that the guard probably suffice","j",1.11308097839,17,"j","Ungrammatical",1,"NA"
11,"Filler",97,0,"The clock shows the time that the athletes amazingly run","f",1.11459302902,19,"f","Grammatical",1,"NA"
11,"Filler",126,0,"The pilot thinks that the passengers usually sleep","f",0.896597146988,20,"f","Grammatical",1,"NA"
11,"Filler",123,0,"The salesman knows that the customer usually decline","j",1.23095297813,22,"j","Ungrammatical",1,"NA"
